,Average Absolute Difference %,Average Net Difference %,Eight Count,Eight Count Difference %,Eight Count Expectation %,Eight Count Result %,Five Count,Five Count Difference %,Five Count Expectation %,Five Count Result %,Four Count,Four Count Difference %,Four Count Expectation %,Four Count Result %,Nine Count,Nine Count Difference %,Nine Count Expectation %,Nine Count Result %,One Count,One Count Difference %,One Count Expectation %,One Count Result %,Seven Count,Seven Count Difference %,Seven Count Expectation %,Seven Count Result %,Six Count,Six Count Difference %,Six Count Expectation %,Six Count Result %,State,Three Count,Three Count Difference %,Three Count Expectation %,Three Count Result %,Total,Two Count,Two Count Difference %,Two Count Expectation %,Two Count Result %,diff_count,diff_sum
0,41.08,-3.8,1.0,-77.69,4.84,1.08,4.0,-41.5,7.35,4.3,11.0,31.15,9.02,11.83,4.0,0.47,4.28,4.3,26.0,-0.11,27.99,27.96,6.0,19.67,5.39,6.45,1.0,-82.66,6.23,1.08,Nebraska,20.0,85.11,11.62,21.51,93,20.0,31.4,16.37,21.51,9,-34.15999999999998
1,78.25,78.25,4.0,128.48,3.02,6.9,4.0,50.66,4.58,6.9,6.0,83.66,5.63,10.34,4.0,158.43,2.67,6.9,18.0,77.72,17.46,31.03,2.0,2.68,3.36,3.45,4.0,77.38,3.89,6.9,California,8.0,90.21,7.25,13.79,58,8.0,35.06,10.21,13.79,9,704.28
2,67.27,67.22,7.0,200.29,3.48,10.45,5.0,41.02,5.29,7.46,6.0,37.85,6.5,8.96,4.0,93.83,3.08,5.97,21.0,55.38,20.17,31.34,7.0,168.64,3.89,10.45,3.0,-0.22,4.49,4.48,Florida,6.0,6.92,8.38,8.96,67,8.0,1.27,11.79,11.94,9,604.98
3,24.18,-14.66,6.0,4.58,5.46,5.71,5.0,-42.65,8.3,4.76,5.0,-53.24,10.18,4.76,4.0,-21.12,4.83,3.81,38.0,14.53,31.6,36.19,6.0,-6.24,6.09,5.71,4.0,-45.88,7.04,3.81,Kansas,13.0,-5.64,13.12,12.38,105,24.0,23.7,18.48,22.86,9,-131.96
4,19.44,-7.89,7.0,-6.57,6.24,5.83,14.0,23.1,9.48,11.67,18.0,28.87,11.64,15.0,6.0,-9.42,5.52,5.0,27.0,-37.71,36.12,22.5,8.0,-4.17,6.96,6.67,9.0,-6.72,8.04,7.5,Kentucky,12.0,-33.33,15.0,10.0,120,19.0,-25.05,21.12,15.83,9,-71.0
5,51.95,8.93,1.0,-72.22,4.32,1.2,8.0,46.95,6.56,9.64,8.0,19.75,8.05,9.64,1.0,-68.59,3.82,1.2,36.0,73.62,24.98,43.37,9.0,125.36,4.81,10.84,5.0,8.27,5.56,6.02,Michigan,7.0,-18.79,10.38,8.43,83,8.0,-34.02,14.61,9.64,9,80.32999999999998
6,22.2,-6.45,8.0,16.39,5.98,6.96,12.0,14.74,9.09,10.43,16.0,24.64,11.16,13.91,7.0,15.12,5.29,6.09,35.0,-12.1,34.62,30.43,7.0,-8.7,6.67,6.09,6.0,-32.21,7.7,5.22,Missouri,12.0,-27.47,14.38,10.43,115,12.0,-48.47,20.24,10.43,9,-58.059999999999995
7,40.63,5.69,7.0,29.43,5.3,6.86,7.0,-14.89,8.06,6.86,6.0,-40.55,9.89,5.88,3.0,-37.31,4.69,2.94,28.0,-10.59,30.7,27.45,13.0,115.37,5.92,12.75,10.0,43.48,6.83,9.8,Illinois,6.0,-53.88,12.75,5.88,102,22.0,20.17,17.95,21.57,9,51.230000000000004
8,23.24,-19.19,9.0,-2.17,6.92,6.77,11.0,-21.31,10.51,8.27,11.0,-35.89,12.9,8.27,7.0,-14.05,6.12,5.26,45.0,-15.49,40.03,33.83,12.0,16.99,7.71,9.02,12.0,1.23,8.91,9.02,Virginia,11.0,-50.24,16.62,8.27,133,15.0,-51.82,23.41,11.28,9,-172.75
9,220.6,220.6,2.0,197.33,1.87,5.56,2.0,95.77,2.84,5.56,5.0,297.99,3.49,13.89,4.0,569.28,1.66,11.11,11.0,181.92,10.84,30.56,1.0,33.01,2.09,2.78,,,,,Oregon,6.0,270.44,4.5,16.67,36,5.0,119.09,6.34,13.89,8,1764.83
10,33.94,9.95,2.0,-49.12,4.52,2.3,5.0,-16.3,6.87,5.75,8.0,9.0,8.44,9.2,2.0,-42.5,4.0,2.3,29.0,27.26,26.19,33.33,8.0,82.18,5.05,9.2,8.0,57.8,5.83,9.2,Minnesota,11.0,16.18,10.88,12.64,87,14.0,5.09,15.31,16.09,9,89.59
